,000000EU,FF011501,FF012201,FF014202,FF025001,FF025201,FF025205,FF025305,FF025315,FF025450,FF025460,FF027206,FF027216,FF027401,FF027601,FF029001,FF029101,FF029201,FF035105,FF035902,FF036102,FF036103,FF036110,FF038001,FF042201,FF044001,FF044005,FF044101,FF044301,FF044302,FF049360,FF049361,FF049386,FF049390,FF082005,FF104421,FF125220,FF144220,FF144616,FF145300,FF145420,FF174906,FF174936
000000EU,1,13,12,2,2,6,9,6,2,12,0,10,0,4,0,3,3,10,9,2,4,6,4,1,0,6,0,8,6,0,8,2,13,1,9,1,3,1,4,9,2,7,8
FF011501,8,1,5,0,1,0,9,0,0,5,1,0,0,1,0,3,0,2,0,1,1,9,4,0,1,0,0,2,1,0,1,2,0,0,3,1,1,3,0,4,0,0,3
FF012201,7,4,0,0,0,0,8,0,2,8,3,1,2,4,1,0,0,2,0,1,0,3,0,0,0,1,0,7,0,0,0,8,0,3,1,3,2,2,0,2,1,1,3
FF014202,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FF025001,4,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FF025201,5,0,2,0,1,0,0,1,2,0,0,0,1,0,0,0,2,3,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,1,0,0
FF025205,11,8,8,1,0,2,0,2,1,6,1,0,0,2,0,2,3,2,3,2,2,4,2,0,1,1,0,1,5,0,0,2,0,0,2,0,1,3,0,3,1,0,2
FF025305,4,2,2,0,0,0,3,0,0,0,0,0,0,0,0,3,1,1,6,0,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0
FF025315,1,0,5,0,1,1,1,1,0,2,0,0,0,3,0,2,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
FF025450,17,7,4,0,1,0,1,1,3,2,1,0,0,3,0,4,3,2,4,1,2,2,2,0,1,2,0,0,1,1,0,1,0,2,1,0,2,6,1,1,0,0,0
FF025460,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FF027206,4,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,0,0,0,0,0,0,1,3
FF027216,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0
FF027401,10,3,1,0,1,0,3,0,0,1,0,0,1,0,0,0,1,1,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FF027601,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FF029001,6,1,1,0,0,0,3,0,1,1,0,0,0,0,0,0,2,3,1,1,0,2,3,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
FF029101,6,2,1,1,0,5,0,1,0,2,1,0,0,0,0,2,0,1,0,0,1,1,2,0,0,1,0,2,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0
FF029201,4,4,0,2,1,0,2,3,0,2,0,0,0,1,0,0,2,0,2,0,1,2,0,0,1,1,0,0,3,0,0,0,0,0,1,1,0,1,0,1,1,0,0
FF035105,4,2,2,1,0,2,3,8,2,5,0,1,0,0,0,0,3,1,2,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,2,0,0
FF035902,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FF036102,1,5,0,0,0,2,5,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0
FF036103,6,4,4,0,0,0,5,3,1,7,1,0,0,3,0,1,2,1,2,0,1,0,1,0,2,1,0,1,1,1,0,0,0,0,1,1,1,2,0,0,0,0,1
FF036110,6,0,2,1,1,1,7,0,0,1,0,0,1,1,0,0,0,0,2,0,1,3,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,0,1,1,1,0,0
FF038001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FF042201,0,0,1,0,0,2,0,1,1,2,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
FF044001,2,0,0,0,0,0,1,0,1,4,0,0,0,2,0,2,0,1,0,0,2,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0
FF044005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FF044101,5,2,3,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,1,0,2,0,1,2,0,0,0,0,0,1,0,0,2,0,3,0,0,0
FF044301,4,0,1,0,1,0,3,0,4,2,1,1,0,0,0,1,0,2,0,0,1,2,2,1,1,0,0,2,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0
FF044302,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FF049360,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,0
FF049361,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,1,2
FF049386,24,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FF049390,20,2,7,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,2,0,2,0
FF082005,2,1,0,3,1,4,6,0,0,5,1,0,0,0,0,1,1,0,3,0,0,1,1,0,1,2,0,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0
FF104421,2,0,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FF125220,1,3,1,0,0,0,3,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FF144220,4,1,3,0,0,0,3,0,2,1,0,0,1,2,0,0,1,1,3,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
FF144616,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
FF145300,8,2,1,0,1,0,2,1,0,3,1,0,0,0,0,0,1,0,1,0,2,3,2,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0
FF145420,2,1,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
FF174906,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
FF174936,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,9,0,0,0,0,0,0,0,0,0
